Date,wikipedia_pageviews
2015-07-01,13137.0
2015-07-02,9938.0
2015-07-03,8498.0
2015-07-04,9113.0
2015-07-05,8908.0
2015-07-06,10456.0
2015-07-07,11392.0
2015-07-08,11294.0
2015-07-09,9808.0
2015-07-10,8478.0
2015-07-11,7097.0
2015-07-12,7439.0
2015-07-13,9053.0
2015-07-14,7900.0
2015-07-15,7585.0
2015-07-16,7822.0
2015-07-17,7264.0
2015-07-18,6343.0
2015-07-19,9256.0
2015-07-20,8946.0
2015-07-21,8595.0
2015-07-22,8892.0
2015-07-23,9449.0
2015-07-24,7952.0
2015-07-25,7283.0
2015-07-26,8473.0
2015-07-27,9626.0
2015-07-28,9436.0
2015-07-29,9063.0
2015-07-30,8548.0
2015-07-31,7220.0
2015-08-01,19280.0
2015-08-02,13539.0
2015-08-03,10351.0
2015-08-04,8943.0
2015-08-05,8469.0
2015-08-06,8066.0
2015-08-07,7942.0
2015-08-08,6901.0
2015-08-09,6832.0
2015-08-10,7794.0
2015-08-11,8070.0
2015-08-12,8389.0
2015-08-13,9769.0
2015-08-14,7322.0
2015-08-15,6422.0
2015-08-16,6640.0
2015-08-17,7683.0
2015-08-18,11541.0
2015-08-19,11921.0
2015-08-20,10579.0
2015-08-21,9664.0
2015-08-22,7673.0
2015-08-23,9181.0
2015-08-24,11678.0
2015-08-25,9808.0
2015-08-26,10923.0
2015-08-27,8496.0
2015-08-28,7543.0
2015-08-29,8285.0
2015-08-30,9485.0
2015-08-31,8902.0
2015-09-01,9625.0
2015-09-02,8586.0
2015-09-03,8147.0
2015-09-04,7057.0
2015-09-05,6023.0
2015-09-06,6399.0
2015-09-07,7505.0
2015-09-08,8553.0
2015-09-09,8275.0
2015-09-10,8385.0
2015-09-11,8024.0
2015-09-12,6968.0
2015-09-13,7008.0
2015-09-14,10119.0
2015-09-15,9090.0
2015-09-16,8800.0
2015-09-17,9018.0
2015-09-18,9788.0
2015-09-19,7558.0
2015-09-20,7368.0
2015-09-21,8936.0
2015-09-22,10027.0
2015-09-23,41177.0
2015-09-24,8707.0
2015-09-25,10171.0
2015-09-26,7046.0
2015-09-27,7292.0
2015-09-28,8213.0
2015-09-29,8418.0
2015-09-30,8602.0
2015-10-01,7942.0
2015-10-02,7540.0
2015-10-03,6772.0
2015-10-04,7565.0
2015-10-05,8901.0
2015-10-06,11515.0
2015-10-07,9937.0
2015-10-08,8930.0
2015-10-09,8510.0
2015-10-10,7433.0
2015-10-11,7692.0
2015-10-12,8895.0
2015-10-13,8719.0
2015-10-14,10092.0
2015-10-15,8397.0
2015-10-16,7882.0
2015-10-17,6919.0
2015-10-18,7189.0
2015-10-19,9286.0
2015-10-20,9618.0
2015-10-21,9091.0
2015-10-22,9548.0
2015-10-23,8964.0
2015-10-24,7211.0
2015-10-25,8115.0
2015-10-26,9774.0
2015-10-27,10467.0
2015-10-28,10815.0
2015-10-29,11065.0
2015-10-30,10597.0
2015-10-31,7868.0
2015-11-01,9414.0
2015-11-02,10937.0
2015-11-03,12552.0
2015-11-04,15437.0
2015-11-05,17375.0
2015-11-06,12389.0
2015-11-07,9095.0
